subject,game,recall_prop_centered,recalled_total_count
101,1,0.625,6
101,2,0.625,6
101,3,0.625,6
101,4,0.625,6
101,5,0.625,6
101,6,0.625,6
101,7,0.625,6
103,1,0.625,6
103,2,0.29166666666666663,4
103,3,0.45833333333333337,5
103,4,0.45833333333333337,5
103,5,0.45833333333333337,5
103,6,0.45833333333333337,5
103,7,0.625,6
104,1,0.29166666666666663,4
104,2,0.45833333333333337,5
104,3,0.125,3
104,4,0.45833333333333337,5
104,5,0.45833333333333337,5
104,6,0.29166666666666663,4
104,7,0.625,6
105,1,0.125,3
105,2,0.125,3
105,3,-0.041666666666666685,2
105,4,-0.041666666666666685,2
105,5,-0.041666666666666685,2
105,6,-0.041666666666666685,2
105,7,-0.041666666666666685,2
106,1,0.45833333333333337,5
106,2,0.625,6
106,3,0.45833333333333337,5
106,4,0.45833333333333337,5
106,5,0.45833333333333337,5
106,6,0.45833333333333337,5
106,7,0.625,6
107,1,0.45833333333333337,5
107,2,0.45833333333333337,5
107,3,0.45833333333333337,5
107,4,0.125,3
107,5,0.29166666666666663,4
107,6,0.125,3
107,7,0.45833333333333337,5
108,1,0.45833333333333337,5
108,2,0.45833333333333337,5
108,3,0.625,6
108,4,0.625,6
108,5,0.45833333333333337,5
108,6,0.45833333333333337,5
108,7,0.125,3
109,1,0.45833333333333337,5
109,2,0.125,3
109,3,0.125,3
109,4,0.45833333333333337,5
109,5,0.29166666666666663,4
109,6,0.625,6
109,7,0.625,6
110,1,0.625,6
110,2,0.45833333333333337,5
110,3,0.45833333333333337,5
110,4,0.625,6
110,5,0.29166666666666663,4
110,6,0.45833333333333337,5
110,7,0.45833333333333337,5
111,1,0.125,3
111,2,0.45833333333333337,5
111,3,0.45833333333333337,5
111,4,0.45833333333333337,5
111,5,0.125,3
111,6,0.625,6
111,7,0.125,3
113,1,-0.041666666666666685,2
113,2,0.125,3
113,3,0.29166666666666663,4
113,4,-0.20833333333333334,1
113,5,-0.041666666666666685,2
113,6,0.125,3
113,7,0.125,3
114,1,0.625,6
