thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,encoding,fixation,13.630248666624539,14.38841158314608,1,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
,,encoding,image,14.388527333154343,15.406622708193026,1,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
,,encoding,value,15.406709416536614,21.41660683322698,1,1,Object_Sea_Solid_Large,2,,,,,,,,,,,
,,encoding,attention,21.416708124917932,24.430940166581422,1,1,Object_Sea_Solid_Large,2,+2,1,1.6517646666616201,,,,,,,,
,,encoding,fixation,24.431146874907427,25.184882708243094,2,1,Animal_Land_Solid_Small,-1,,,,,,,,,,,
,,encoding,image,25.185012833215296,26.19373629160691,2,1,Animal_Land_Solid_Small,-1,,,,,,,,,,,
,,encoding,value,26.19383933325298,32.20296512497589,2,1,Animal_Land_Solid_Small,-1,,,,,,,,,,,
,,encoding,attention,32.2030887498986,35.21667449991219,2,1,Animal_Land_Solid_Small,-1,-1,1,1.6437484165653586,,,,,,,,
,,encoding,fixation,35.216794958221726,36.471072041545995,3,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,image,36.47116620815359,37.480388416559435,3,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,value,37.48051129153464,43.48907999997027,3,1,Animal_Sea_Solid_Large,-2,,,,,,,,,,,
,,encoding,attention,43.489231874933466,46.50301699992269,3,1,Animal_Sea_Solid_Large,-2,-2,1,0.8336799582466483,,,,,,,,
,,encoding,fixation,46.503165958216414,47.2565822500037,4,1,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,image,47.25668608315755,48.26546704152133,4,1,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,value,48.265561333158985,54.27395583316684,4,1,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,attention,54.27405437489506,57.28770808316767,4,1,Object_Sea_Pattern_Large,1,+1,1,1.1467479165876284,,,,,,,,
,,encoding,fixation,57.287848124979064,58.29125854151789,5,1,Object_Land_Pattern_Small,-6,,,,,,,,,,,
,,encoding,image,58.29135845822748,59.30121387494728,5,1,Object_Land_Pattern_Small,-6,,,,,,,,,,,
,,encoding,value,59.30136058316566,65.31082866655197,5,1,Object_Land_Pattern_Small,-6,,,,,,,,,,,
,,encoding,attention,65.31092254153918,68.32717016653623,5,1,Object_Land_Pattern_Small,-6,-6,1,0.8331028333632275,,,,,,,,
,,encoding,fixation,68.3273356249556,69.33062766655348,6,1,Animal_Land_Pattern_Small,4,,,,,,,,,,,
,,encoding,image,69.33072374993935,70.33882170822471,6,1,Animal_Land_Pattern_Small,4,,,,,,,,,,,
,,encoding,value,70.33894008316565,76.34829208324663,6,1,Animal_Land_Pattern_Small,4,,,,,,,,,,,
,,encoding,attention,76.34841437498108,79.36193829157855,6,1,Animal_Land_Pattern_Small,4,+4,1,0.5678831667173654,,,,,,,,
,,n-back,,,,1,1,,,,1,None,Z,False,None,,,,,
,,n-back,,,,2,1,,,,1,None,N,False,None,,,,,
,,n-back,,,,3,1,,,,1,None,X,False,None,,,,,
,,n-back,,,,4,1,,,,1,None,X,False,None,,,,,
,,n-back,,,,5,1,,,,1,1.4050763332052156,X,True,1,,,,,
,,n-back,,,,6,1,,,,1,None,N,False,None,,,,,
,,n-back,,,,7,1,,,,1,None,B,False,None,,,,,
,,n-back,,,,8,1,,,,1,None,V,False,None,,,,,
,,n-back,,,,9,1,,,,1,None,V,False,None,,,,,
,,n-back,,,,10,1,,,,1,None,N,False,None,,,,,
,,n-back,,,,11,1,,,,1,None,Z,False,None,,,,,
,,n-back,,,,12,1,,,,1,None,V,False,None,,,,,
,,n-back,,,,13,1,,,,1,None,X,False,None,,,,,
,,n-back,,,,14,1,,,,0,None,V,True,None,,,,,
,,n-back,,,,15,1,,,,0,None,X,True,None,,,,,
,,n-back,,,,16,1,,,,1,0.9201623332919553,V,True,1,,,,,
,,n-back,,,,17,1,,,,1,None,V,False,None,,,,,
,,n-back,,,,18,1,,,,0,None,V,True,None,,,,,
,,n-back,,,,19,1,,,,1,None,B,False,None,,,,,
,,n-back,,,,20,1,,,,1,0.9326227500569075,V,True,1,,,,,
,,n-back,,,,21,1,,,,1,None,C,False,None,,,,,
,,n-back,,,,22,1,,,,1,1.0903026666492224,V,True,1,,,,,
,,n-back,,,,23,1,,,,1,1.1182554999832064,C,True,1,,,,,
,,n-back,,,,24,1,,,,1,None,N,False,None,,,,,
,,n-back,,,,25,1,,,,0,None,C,True,None,,,,,
,,n-back,,,,26,1,,,,1,0.4037662500049919,N,True,1,,,,,
,,n-back,,,,27,1,,,,1,None,N,False,None,,,,,
,,n-back,,,,28,1,,,,1,None,X,False,None,,,,,
,,n-back,,,,29,1,,,,1,None,Z,False,None,,,,,
,,n-back,,,,30,1,,,,1,None,Z,False,None,,,,,
,,choice,fixation,164.34293670824263,165.09747729159426,1,1,,,,,,,,,Solid,,,,
,,choice,option,165.10384749993682,166.19139987498056,1,1,,,,,,,,,Solid,,,,
,,choice,choice,166.19149170815945,200.86801991658285,1,1,,,1,0,33.667738749994896,,,,Solid,,,,
,,choice,fixation,200.86812649993226,201.3718318749452,2,1,,,,,,,,,Object,,,,
,,choice,option,201.3780159582384,202.4031617916189,2,1,,,,,,,,,Object,,,,
,,choice,choice,202.40332541661337,211.61890683323145,2,1,,,2,1,8.206451624981128,,,,Object,,,,
,,choice,fixation,211.61902549990918,212.87237112491857,3,1,,,,,,,,,Land,,,,
,,choice,option,212.8782069166191,213.90527070814278,3,1,,,,,,,,,Land,,,,
,,choice,choice,213.9053589166142,226.38703604158945,3,1,,,2,1,11.47333275002893,,,,Land,,,,
,,choice,fixation,226.3871551665943,227.1408445831621,4,1,,,,,,,,,Pattern,,,,
,,choice,option,227.14662079152185,228.1727879999671,4,1,,,,,,,,,Pattern,,,,
,,choice,choice,228.17290179152042,241.37202733324375,4,1,,,2,1,12.18920504162088,,,,Pattern,,,,
,,choice,fixation,241.37212462490425,242.1264765416272,5,1,,,,,,,,,Animal,,,,
,,choice,option,242.13240399991628,243.1577820831444,5,1,,,,,,,,,Animal,,,,
,,choice,choice,243.15792691661045,254.6932917915983,5,1,,,1,1,10.526956000016071,,,,Animal,,,,
,,choice,fixation,254.69339795818087,255.69674695818685,6,1,,,,,,,,,Large,,,,
,,choice,option,255.70243304152973,256.726977416547,6,1,,,,,,,,,Large,,,,
,,choice,choice,256.7270752915647,273.907454083208,6,1,,,1,1,16.171504208468832,,,,Large,,,,
,,choice,fixation,273.9076023332309,274.41087529156357,7,1,,,,,,,,,Sea,,,,
,,choice,option,274.4166196666192,275.4409583332017,7,1,,,,,,,,,Sea,,,,
,,choice,choice,275.44106404157355,281.8982718331972,7,1,,,1,1,5.449646708322689,,,,Sea,,,,
,,choice,fixation,281.89838916657027,283.15162462496664,8,1,,,,,,,,,Small,,,,
,,choice,option,283.1573152082274,284.18218483321834,8,1,,,,,,,,,Small,,,,
,,choice,choice,284.18227670819033,291.78879658319056,8,1,,,2,1,6.595878249965608,,,,Small,,,,
,,memory,free_recall,345.893914999906,360.20565491658635,0,1,,,,,,,,,,,,,
,,memory,value_recall,408.9653601666214,412.47199116658885,1,1,Animal_Sea_Solid_Large,,,,3.5009245416149497,,,,,-2,,,
,,memory,value_recall,414.51217470818665,417.710152208223,2,1,Animal_Land_Solid_Small,,,,3.1946786666521803,,,,,-1,,,
,,memory,value_recall,418.74962774990126,423.02422312495764,3,1,Object_Sea_Pattern_Large,,,,4.272014041780494,,,,,1,,,
,,memory,value_recall,424.563466874999,428.5825681249844,4,1,Object_Sea_Solid_Large,,,,4.0155825415859,,,,,2,,,
,,memory,value_recall,430.62200091662817,433.29444845824037,5,1,Animal_Land_Pattern_Small,,,,2.6690521250711754,,,,,4,,,
,,memory,value_recall,435.08322354161646,436.8456666249549,6,1,Object_Land_Pattern_Small,,,,1.7586029999656603,,,,,-6,,,
